hit_ID,x,y,z,layer,px,py,pz,time,PDG,event
67,50.836468324282066,-54.31986481694566,-34.92336963888895,4,-1000,-1000,-1000,-0.0006212388398125768,-1000,16
68,50.72707156865165,-54.40710581839098,-34.28823077435811,4,-1000,-1000,-1000,-0.0053336904384195805,-1000,16
69,25.86748651141299,-16.79226559757142,-27.694935212293007,0,-1000,-1000,-1000,-0.01024368405342102,-1000,16
70,25.529653421609364,-17.130098687375046,-28.30971456463745,0,-1000,-1000,-1000,0.0607372485101223,-1000,16
71,26.433519989353748,-16.226232119630662,-27.342022546956223,0,-1000,-1000,-1000,0.04195664823055267,-1000,16
72,25.628852934242815,-17.0308991747416,-28.833849890629843,0,-1000,-1000,-1000,0.03053608164191246,-1000,16
73,26.2043811973494,-15.561971190756339,-25.60260634712213,0,-1000,-1000,-1000,-0.0824647843837738,-1000,16
74,16.259839436308717,-25.915314705292086,-34.009041179372275,0,-1000,-1000,-1000,0.07928390055894852,-1000,16
75,15.268824476835292,-26.325806542020604,-33.61529407416298,0,-1000,-1000,-1000,0.09633194655179977,-1000,16
76,17.520638528910112,-25.393074621708898,-30.20499801588144,0,-1000,-1000,-1000,0.0621248297393322,-1000,16
77,15.731771371393314,-26.13404765963616,-29.190743200191193,0,-1000,-1000,-1000,0.0669698566198349,-1000,16
78,15.854558194924813,-26.083187692048707,-28.878612818951495,0,-1000,-1000,-1000,0.035713788121938705,-1000,16
79,14.122381953833136,-26.800678583529326,-26.280194903326496,0,-1000,-1000,-1000,0.06523707509040833,-1000,16
80,17.48303315551545,-25.40865127738707,-24.34494928260434,0,-1000,-1000,-1000,0.05380799248814583,-1000,16
81,15.058797028394038,-26.41280275963559,-22.470292682496336,0,-1000,-1000,-1000,0.07776391506195068,-1000,16
82,17.521140406941953,-25.392866737021453,-19.797646888025213,0,-1000,-1000,-1000,0.0052704294212162495,-1000,16
83,14.973915184816203,-26.44796197044476,-16.827327007764005,0,-1000,-1000,-1000,0.0025391371455043554,-1000,16
84,17.098174647387985,-25.568064891048145,-14.479952720152552,0,-1000,-1000,-1000,-0.07722733169794083,-1000,16
85,17.761579141342246,-27.512177762912437,-14.123154352987545,1,-1000,-1000,-1000,-0.03675520047545433,-1000,16
86,-45.78797022233573,-24.025362829568905,-46.72728774371833,2,-1000,-1000,-1000,0.03627985343337059,-1000,16
87,-44.216584212749545,-29.67585843748804,-36.570632669739666,3,-1000,-1000,-1000,0.013971134088933468,-1000,16
88,-38.26963372384242,-37.86113357235701,-21.09316897257443,3,-1000,-1000,-1000,-0.05020272359251976,-1000,16
89,-33.58723127388204,-40.81823933460903,-13.74001971652074,2,-1000,-1000,-1000,-0.06324321776628494,-1000,16
90,-29.228419492309467,-42.20521718430224,-7.730296732511423,2,-1000,-1000,-1000,-0.04021914303302765,-1000,16
91,-22.98885849193112,-22.570031419918138,-63.987006881714656,1,-1000,-1000,-1000,0.13213011622428894,-1000,16
92,-9.81776398104148,-50.414942548621056,-26.166919753367136,2,-1000,-1000,-1000,0.04458814486861229,-1000,16
93,2.937736870310953,-51.75559971103315,-10.807525154490367,2,-1000,-1000,-1000,-0.08885562419891357,-1000,16
94,-41.08641768707063,-30.4964947372532,-12.71617412908393,2,-1000,-1000,-1000,-0.0012023248709738255,-1000,16
95,-41.7361081040397,-29.602272593433597,-12.127338035779868,2,-1000,-1000,-1000,-0.013135231100022793,-1000,16
